Software,unique_users,Source,Category
AADReporting,6,SSO,Internal Applications
ADIbizaUX,22,SSO,Internal Applications
Accounts Control UI,4,SSO,Internal Applications
App Home Pages Prod,1,SSO,Internal Applications
App Service,67,SSO,Azure Services
Asana,1,Email,Collaboration & Productivity (SaaS)
Augmentation Loop,192,SSO,Internal Applications
Azure AI Studio App,1,SSO,Azure Services
Azure API Connections,2,SSO,Internal Applications
Azure Artifacts,4,SSO,Internal Applications
Azure DevOps,80,SSO,Azure Services
Azure Kubernetes Service AAD Client,5,SSO,Internal Applications
Azure Machine Learning Services,1,SSO,Internal Applications
Azure Managed Grafana,1,SSO,Internal Applications
Azure Portal,41,SSO,Azure Services
Azure Portal Fx Copilot Web,2,SSO,Internal Applications
Azure SQL Database and Data Warehouse,2,SSO,Azure Services
Azure Virtual Desktop,1,SSO,Internal Applications
Azure Virtual Desktop Client,7,SSO,Azure Services
AzureCopilotServiceProd,1,SSO,Internal Applications
AzurePortal Console App,1,SSO,Internal Applications
BDO Global Portal PRD-NAM,1,SSO,Internal Applications
Bing,1,SSO,Collaboration & Productivity (SaaS)
Bob,1,SSO,Internal Applications
Box,1,SSO,Internal Applications
Calendly,2,SSO,Internal Applications
Call Recorder,24,SSO,Internal Applications
Cascade Authentication,4,SSO,Internal Applications
Connectors,41,SSO,Internal Applications
Conversation Transcription services for Office,24,SSO,Internal Applications
Copilot App,1,SSO,Internal Applications
Cronofy,5,SSO,Internal Applications
Device Management Client,156,SSO,Internal Applications
Dime Client,1,SSO,Internal Applications
Docusign,2,Email,Collaboration & Productivity (SaaS)
Drift,7,SSO,Collaboration & Productivity (SaaS)
Dropbox,1,Email,Collaboration & Productivity (SaaS)
Dynamics 365 Viva Sales,23,SSO,Internal Applications
EU,1,SSO,Internal Applications
Enterprise Dashboard Project,97,SSO,Internal Applications
Entra-Copilot-UX,1,SSO,Internal Applications
FXIrisClient,110,SSO,Internal Applications
Gainsight,5,SSO,Other SaaS / Business Apps
Get My Developer Entitlements,14,SSO,Internal Applications
Gitlab,1,Email,Collaboration & Productivity (SaaS)
Gmail,4,SSO,Internal Applications
Graph Explorer,1,SSO,Developer Tools
Graph Files Manager,111,SSO,Internal Applications
Highspot for OneDrive and Sharepoint Online,17,SSO,Internal Applications
Hubspot,1,Email,Collaboration & Productivity (SaaS)
Langdock,19,SSO,Collaboration & Productivity (SaaS)
LastPass,3,SSO,Security & Identity
M365 Admin Services,1,SSO,Internal Applications
M365ChatClient,158,SSO,Internal Applications
MS Form Excel Data Sync for SDX,1,SSO,Internal Applications
MS-PIM,4,SSO,Internal Applications
Mailshake,2,SSO,Internal Applications
Marketplace Leads PROD,1,SSO,Internal Applications
Metallic Backup App for Teams,1,SSO,Internal Applications
Micorsoft Azure AppInsightsExtension,12,SSO,Developer Tools
Microsoft 365 App Catalog Services,226,SSO,Internal Applications
Microsoft 365 App Catalog Services GCC,2,SSO,Internal Applications
Microsoft 365 Copilot,18,SSO,Internal Applications
Microsoft 365 Security and Compliance Center,3,SSO,Microsoft Core Services
Microsoft 365 Support Service,3,SSO,Microsoft Core Services
Microsoft Account Controls V2,7,SSO,Security & Identity
Microsoft App Access Panel,4,SSO,Internal Applications
Microsoft Application Command Service,162,SSO,Internal Applications
Microsoft Authentication Broker,223,SSO,Security & Identity
Microsoft Authenticator App,10,SSO,Internal Applications
Microsoft Azure App Service,1,SSO,Azure Services
Microsoft Azure CLI,11,SSO,Azure Services
Microsoft Azure KeyVault portal extension,5,SSO,Internal Applications
Microsoft Azure PowerShell,1,SSO,Azure Services
Microsoft Azure SQL,6,SSO,Azure Services
Microsoft Defender Platform,44,SSO,Internal Applications
Microsoft Device Registration Client,1,SSO,Azure Services
Microsoft Edge,168,SSO,Developer Tools
Microsoft Edge Enterprise New Tab Page,147,SSO,Developer Tools
Microsoft Exchange Online Protection,3,SSO,Internal Applications
Microsoft Flow Portal,4,SSO,Internal Applications
Microsoft Flow Service,2,SSO,Internal Applications
Microsoft Forms,11,SSO,Microsoft Core Services
Microsoft Forms Web,7,SSO,Internal Applications
Microsoft Intune Company Portal,67,SSO,Internal Applications
Microsoft Intune Windows Agent,150,SSO,Internal Applications
Microsoft Intune portal extension,1,SSO,Internal Applications
Microsoft Loop App,1,SSO,Microsoft Core Services
Microsoft Mobile Application Management,13,SSO,Internal Applications
Microsoft Office,192,SSO,Microsoft Core Services
Microsoft Office 365 Portal,6,SSO,Internal Applications
Microsoft OneDrive desktop sync client,1,SSO,Internal Applications
Microsoft Outlook,79,SSO,Microsoft Core Services
Microsoft Places for Web,1,SSO,Internal Applications
Microsoft Planner Client,6,SSO,Microsoft Core Services
Microsoft Power BI,9,SSO,Microsoft Core Services
Microsoft Power Query,1,SSO,Internal Applications
Microsoft Power Query for Excel,3,SSO,Microsoft Core Services
Microsoft Remote Desktop Client,1,SSO,Internal Applications
Microsoft Teams,306,SSO,Microsoft Core Services
Microsoft Teams AuthSvc,27,SSO,Internal Applications
Microsoft Teams Chat Aggregator,78,SSO,Internal Applications
Microsoft Teams Copilot Bot,1,SSO,Internal Applications
Microsoft Teams Graph Service,59,SSO,Internal Applications
Microsoft Teams Retail Service,1,SSO,Internal Applications
Microsoft Teams Services,237,SSO,Internal Applications
Microsoft Teams Shifts,3,SSO,Internal Applications
Microsoft Teams Web Client,9,SSO,Microsoft Core Services
Microsoft Teams-T4L,1,SSO,Internal Applications
Microsoft Threat Protection,3,SSO,Internal Applications
Microsoft To-Do client,2,SSO,Internal Applications
