software_name,sender_domain,is_software
Getdx,getdx.com,TRUE
Kommunicate,kommunicate.io,TRUE
n8n,n8n.io,TRUE
Rocketlane,rocketlane.com,TRUE
Orbussoftware,orbussoftware.com,TRUE
Meetjamie,meetjamie.ai,TRUE
Xero,xero.com,TRUE
Cluely,cluely.com,TRUE
Calendly,calendly.com,TRUE
Justskim,justskim.ai,TRUE
Ns-Analytics,ns-analytics.com,FALSE
Workos-Mail,workos-mail.com,TRUE
Beehiiv,beehiiv.com,TRUE
Llamaindex,llamaindex.ai,TRUE
Modelml,modelml.com,TRUE
Endexai,endexai.co,TRUE
Pehub,pehub.com,FALSE
Salescaptain,salescaptain.io,TRUE
Scaleblueprintgtm,scaleblueprintgtm.co,FALSE
Chroniclehq,chroniclehq.com,TRUE
Thesiscloud,thesiscloud.com,TRUE
Ignite-Group,ignite-group.nl,FALSE
Anthropic,anthropic.com,TRUE
Mineos,mineos.ai,TRUE
Bain,bain.com,FALSE
Unstructured,unstructured.io,TRUE
Uber,uber.com,TRUE
Clay,clay.com,TRUE
Voteclashmanagement,voteclashmanagement.com,FALSE
Getlindy,getlindy.ai,TRUE
Salesmanago,salesmanago.com,TRUE
Privateequityinternational,privateequityinternational.com,FALSE
Listalpha,listalpha.com,TRUE
Bavest,bavest.co,TRUE
Xtech,xtech.ai,TRUE
Lusha-Notice,lusha-notice.com,TRUE
Artlyai,artlyai.info,FALSE
Paddle,paddle.com,TRUE
Golanehealth,golanehealth.info,FALSE
Genglobal,genglobal.org,FALSE
Timpanogo,timpanogo.com,FALSE
Mail,mail.microsoft,FALSE
Peimedia,peimedia.com,FALSE
Marketsgroup,marketsgroup.org,FALSE
Londonvcnetwork,londonvcnetwork.com,FALSE
Make,make.com,TRUE
Hs-Send,hs-send.com,FALSE
Hgcapital,hgcapital.com,FALSE
Pei,pei.group,FALSE
Bvp,bvp.com,FALSE
Rocketequities,rocketequities.com,FALSE
